timestamp,plant_id,machine_id,mold_id,product_variant,resin_lot_id,operator_shift,operator_experience_level,ambient_temperature_c,ambient_humidity_pct,dryer_dewpoint_c,resin_moisture_pct,resin_batch_quality_index,barrel_temperature_c,mold_temperature_c,injection_pressure_bar,hold_pressure_bar,screw_speed_rpm,cooling_time_s,cycle_time_s,clamp_force_kn,shot_size_g,maintenance_days_since_last,calibration_drift_index,tool_wear_index,cavity_count,part_weight_g,parts_produced,energy_kwh_interval,defect_type,scrap_count,scrap_rate_pct,pass_fail_flag
2026-01-05T00:30:00,VN_QUANGNAM,NAM_IM_01,MLD_001,V_PUMP_CAP_D,LOT_0016,C_Night,4,26.65,72.34,-36.76,0.193,0.922,236.96,70.99,1140.62,581.01,58.12,15.17,64.2,2077.45,604.08,11,0.209,0.296,8,68.55,205,23.11,splay_moisture,8,3.54,0
2026-01-05T00:30:00,DE_WINNENDEN,DEN_IM_02,MLD_013,V_PUMP_CAP_D,LOT_0001,C_Night,4,23.83,58.59,-40.45,0.0993,0.955,236.74,65.36,1061.27,621.92,70.08,12.66,42.64,1868.76,299.08,21,0.389,0.307,4,70.19,150,17.66,flash,6,5.14,0
2026-01-05T00:30:00,DE_WINNENDEN,DEN_IM_01,MLD_016,V_HOUSING_A,LOT_0044,C_Night,4,22.04,60.09,-38.83,0.182,0.939,266.22,80.85,1368.54,822.61,74.45,21.46,95.0,2733.61,1671.41,14,0.31,0.212,8,185.16,130,28.0,flash,6,5.094,0
2026-01-05T01:00:00,RO_CURTEA,TEA_IM_01,MLD_017,V_FILTER_FRAME_G,LOT_0016,C_Night,1,22.68,58.68,-39.26,0.156,0.922,233.75,79.99,1385.51,808.71,67.66,18.05,40.85,3569.97,233.54,14,0.295,0.0,2,110.93,76,14.71,warpage,4,4.946,0
2026-01-05T01:30:00,RO_CURTEA,TEA_IM_01,MLD_002,V_HOUSING_B,LOT_0008,C_Night,3,21.11,70.93,-37.07,0.0227,0.928,247.74,75.07,1253.29,720.42,65.17,20.47,95.0,3582.47,1437.86,5,0.135,0.244,8,162.66,130,28.0,warpage,3,3.407,0
2026-01-05T01:30:00,VN_QUANGNAM,NAM_IM_02,MLD_006,V_HANDLE_E,LOT_0100,C_Night,4,27.87,79.15,-41.65,0.1349,0.928,230.92,68.75,1084.13,575.67,72.5,15.8,79.58,1921.52,836.87,2,0.03,0.199,8,96.38,164,24.33,warpage,8,4.096,0
2026-01-05T02:00:00,RO_CURTEA,TEA_IM_02,MLD_006,V_FILTER_FRAME_G,LOT_0086,C_Night,4,20.44,68.74,-36.43,0.3,0.952,255.35,70.24,1070.8,724.08,74.41,18.01,92.3,2875.45,971.64,10,0.235,0.206,8,110.62,137,28.0,splay_moisture,4,3.059,1
2026-01-05T02:30:00,VN_QUANGNAM,NAM_IM_01,MLD_018,V_CONNECTOR_F,LOT_0066,C_Night,3,26.44,63.5,-36.9,0.0127,0.978,236.14,51.36,839.16,488.25,83.31,10.25,18.91,2149.97,51.62,5,0.044,0.324,2,23.94,164,13.37,sink_mark,6,4.178,0
2026-01-05T02:30:00,DE_WINNENDEN,DEN_IM_05,MLD_007,V_FILTER_FRAME_G,LOT_0022,C_Night,2,20.69,55.58,-38.49,0.2162,0.934,263.12,72.74,1276.46,702.74,65.74,18.62,55.67,3449.3,486.11,16,0.308,0.251,4,111.17,120,18.67,dimensional_deviation,5,3.697,0
2026-01-05T03:30:00,DE_OBERSONT,ONT_IM_01,MLD_003,V_HANDLE_E,LOT_0093,C_Night,7,21.41,47.24,-37.72,0.0293,0.867,232.07,57.09,1370.71,837.88,61.49,16.11,52.72,4307.01,415.36,32,0.481,0.098,4,93.62,128,18.28,warpage,6,3.267,0
2026-01-05T04:30:00,RO_CURTEA,TEA_IM_01,MLD_017,V_HANDLE_E,LOT_0060,C_Night,2,21.83,61.98,-40.6,0.0981,0.968,216.73,64.27,1372.69,787.39,86.79,16.21,33.87,3511.94,209.76,6,0.19,0.117,2,95.8,94,13.95,sink_mark,4,3.452,0
2026-01-05T05:00:00,DE_WINNENDEN,DEN_IM_03,MLD_004,V_HANDLE_E,LOT_0050,C_Night,4,18.57,58.5,-42.88,0.1045,0.913,240.64,67.25,1229.91,760.65,68.34,15.23,52.14,3233.2,407.41,16,0.321,0.425,4,92.49,128,18.8,warpage,6,4.196,0
2026-01-05T05:00:00,DE_WINNENDEN,DEN_IM_05,MLD_007,V_FILTER_FRAME_G,LOT_0092,C_Night,1,19.54,56.83,-32.5,0.1912,0.889,237.41,62.62,1281.71,835.66,64.29,16.0,57.83,3571.65,473.23,20,0.303,0.259,4,108.21,115,19.39,warpage,6,4.989,0
2026-01-05T05:30:00,VN_QUANGNAM,NAM_IM_01,MLD_001,V_HOUSING_A,LOT_0088,C_Night,2,23.37,72.15,-39.1,0.2232,1.016,260.38,80.35,1360.54,786.39,51.82,23.66,95.0,2181.7,1595.5,12,0.345,0.289,8,187.4,142,28.0,sink_mark,8,5.405,0
2026-01-05T05:30:00,DE_OBERSONT,ONT_IM_01,MLD_003,V_HOUSING_A,LOT_0037,C_Night,4,19.02,62.46,-32.81,0.2062,0.965,243.18,85.1,1305.77,764.51,53.82,21.74,82.64,4299.59,814.94,16,0.341,0.064,4,184.47,78,22.62,flash,3,3.426,0
2026-01-05T06:00:00,DE_WINNENDEN,DEN_IM_04,MLD_015,V_HOUSING_A,LOT_0120,A_Day,2,18.71,61.3,-35.05,0.2048,0.835,252.24,70.73,1381.01,800.56,54.97,20.79,55.67,1995.33,407.84,7,0.151,0.198,2,184.8,52,20.24,short_shot,3,5.569,0
2026-01-05T07:00:00,DE_WINNENDEN,DEN_IM_01,MLD_008,V_HOUSING_A,LOT_0106,A_Day,2,19.06,39.06,-41.11,0.1595,0.975,252.28,77.2,1438.76,873.5,70.39,24.34,95.0,2697.5,1551.42,13,0.356,0.177,8,186.28,132,28.0,sink_mark,5,3.258,0
2026-01-05T07:00:00,DE_WINNENDEN,DEN_IM_01,MLD_001,V_NOZZLE_C,LOT_0066,A_Day,4,19.97,57.22,-40.54,0.0285,0.978,218.2,60.39,979.01,585.52,78.93,13.04,44.77,2686.6,351.51,3,0.118,0.297,8,42.44,301,18.32,warpage,15,4.946,0
2026-01-05T07:30:00,DE_WINNENDEN,DEN_IM_05,MLD_001,V_HOUSING_A,LOT_0115,A_Day,5,18.69,64.52,-36.98,0.1738,0.904,257.05,77.55,1440.87,876.92,65.8,24.64,95.0,3475.31,1617.85,7,0.169,0.348,8,187.15,141,28.0,splay_moisture,7,4.281,0
2026-01-05T08:00:00,VN_QUANGNAM,NAM_IM_01,MLD_007,V_HOUSING_A,LOT_0042,A_Day,3,25.64,77.2,-27.94,0.2706,0.972,248.71,83.84,1340.38,864.1,55.73,22.51,82.17,2100.59,809.95,13,0.264,0.338,4,183.57,77,22.98,warpage,3,6.514,0
2026-01-05T08:00:00,DE_OBERSONT,ONT_IM_01,MLD_016,V_HANDLE_E,LOT_0087,A_Day,5,18.34,64.76,-39.49,0.11,0.962,232.51,61.62,1221.96,726.33,78.71,16.32,79.0,4316.96,805.72,11,0.192,0.147,8,96.73,178,25.15,dimensional_deviation,6,3.277,0
2026-01-05T08:00:00,DE_OBERSONT,ONT_IM_02,MLD_016,V_FILTER_FRAME_G,LOT_0081,A_Day,5,19.3,49.97,-38.48,0.1458,0.953,244.48,73.3,1114.19,688.78,77.28,19.21,92.01,1838.55,964.2,10,0.193,0.172,8,111.52,136,26.57,splay_moisture,5,3.246,0
2026-01-05T08:00:00,DE_OBERSONT,ONT_IM_02,MLD_018,V_FILTER_FRAME_G,LOT_0015,A_Day,4,19.83,52.98,-36.97,0.1652,0.972,225.82,61.35,1175.88,718.57,59.13,16.72,40.91,1829.67,236.56,13,0.187,0.219,2,107.34,80,15.01,dimensional_deviation,3,4.614,0
2026-01-05T08:00:00,DE_OBERSONT,ONT_IM_02,MLD_009,V_FILTER_FRAME_G,LOT_0096,A_Day,3,21.11,51.04,-44.68,0.08,0.865,229.74,70.18,1187.09,706.24,63.95,16.96,56.21,1865.97,478.42,11,0.258,0.219,4,109.05,111,17.71,short_shot,2,1.838,1
2026-01-05T08:30:00,DE_OBERSONT,ONT_IM_02,MLD_006,V_FILTER_FRAME_G,LOT_0086,A_Day,6,17.73,63.3,-34.31,0.3,0.952,238.54,76.67,1116.54,642.34,71.09,14.42,84.45,1825.84,937.95,19,0.248,0.189,8,110.83,149,25.75,warpage,11,5.871,0
2026-01-05T08:30:00,RO_CURTEA,TEA_IM_01,MLD_002,V_COVER_H,LOT_0048,A_Day,4,17.8,61.89,-35.88,0.0756,0.929,247.32,68.15,1028.44,593.28,63.16,19.81,95.0,3459.01,1174.47,22,0.381,0.239,8,127.98,131,28.0,splay_moisture,6,2.752,1
2026-01-05T08:30:00,RO_CURTEA,TEA_IM_02,MLD_014,V_HOUSING_A,LOT_0110,A_Day,5,19.65,68.12,-35.76,0.1716,0.903,260.23,80.95,1200.62,716.85,58.58,22.38,81.86,2857.24,789.11,7,0.139,0.293,4,182.36,80,24.32,warpage,3,4.564,0
2026-01-05T10:00:00,RO_CURTEA,TEA_IM_02,MLD_006,V_FILTER_FRAME_G,LOT_0086,A_Day,2,18.98,55.85,-39.05,0.2506,0.952,238.83,57.1,1202.59,695.09,61.3,16.52,92.25,2882.22,985.86,6,0.158,0.042,8,110.56,134,27.67,warpage,6,4.137,0
2026-01-05T10:00:00,DE_WINNENDEN,DEN_IM_05,MLD_017,V_HOUSING_A,LOT_0034,A_Day,4,17.0,55.46,-41.39,0.2196,0.909,247.53,84.66,1427.2,811.24,65.03,22.3,51.27,3499.38,396.74,4,0.161,0.163,2,186.83,63,18.17,warpage,2,3.685,0
2026-01-05T11:00:00,DE_OBERSONT,ONT_IM_03,MLD_005,V_HOUSING_A,LOT_0120,A_Day,4,19.01,45.2,-45.39,0.0953,0.835,250.43,86.69,1456.02,875.39,61.12,23.22,42.86,4173.06,201.39,7,0.202,0.276,1,189.21,36,17.45,warpage,1,3.951,0
2026-01-05T11:00:00,DE_WINNENDEN,DEN_IM_02,MLD_013,V_NOZZLE_C,LOT_0014,A_Day,5,18.89,51.31,-42.18,0.0317,0.904,210.5,58.35,1089.36,647.45,81.01,12.34,35.4,1912.99,193.51,15,0.299,0.293,4,42.15,176,13.53,short_shot,8,4.716,0
2026-01-05T11:00:00,DE_OBERSONT,ONT_IM_01,MLD_003,V_NOZZLE_C,LOT_0024,A_Day,4,17.56,43.99,-38.8,0.0265,0.994,213.62,50.86,1099.0,696.16,75.28,10.58,33.25,4361.9,176.88,16,0.28,0.272,4,42.14,197,14.37,warpage,3,1.765,1
